,id,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,age
2292,2292,telephone,may,mon,231,1,999,1,failure,51.0
1536,1536,cellular,aug,tue,263,2,999,0,nonexistent,37.0
4047,4047,telephone,jun,wed,95,2,999,0,nonexistent,38.0
3862,3862,cellular,nov,fri,495,1,3,1,success,52.0
1340,1340,cellular,aug,wed,428,4,999,0,nonexistent,
3686,3686,-,nov,fri,174,1,999,0,nonexistent,45.0
1565,1565,telephone,jul,mon,195,2,999,0,nonexistent,38.0
3186,3186,telephone,jun,None,490,12,999,0,nonexistent,54.0
3588,3588,cellular,nov,tue,198,1,999,0,nonexistent,30.0
3441,3441,telephone,may,mon,177,4,999,0,nonexistent,41.0
3111,3111,cellular,jul,thu,262,1,999,0,nonexistent,31.0
2410,2410,telephone,may,tue,355,1,999,0,nonexistent,33.0
2799,2799,cellular,jul,thu,92,1,999,0,nonexistent,46.0
1343,1343,cellular,nov,mon,488,2,999,0,nonexistent,
3437,3437,cellular,jul,wed,1259,6,999,0,nonexistent,35.0
3948,3948,-,nov,wed,300,5,999,1,failure,54.0
257,257,telephone,may,tue,473,2,999,0,nonexistent,57.0
2156,2156,cellular,nov,None,81,1,999,0,nonexistent,51.0
1125,1125,cellular,may,thu,165,2,999,0,nonexistent,31.0
541,541,cellular,aug,thu,103,2,999,0,nonexistent,30.0
3103,3103,telephone,may,fri,200,3,999,0,nonexistent,37.0
1550,1550,-,may,mon,286,1,999,0,nonexistent,36.0
1926,1926,telephone,may,tue,199,4,999,0,nonexistent,49.0
2729,2729,cellular,apr,fri,115,2,999,0,nonexistent,
1503,1503,cellular,jul,thu,303,3,999,0,nonexistent,47.0
2112,2112,cellular,may,fri,131,3,999,0,nonexistent,27.0
4026,4026,cellular,jul,wed,668,1,999,0,nonexistent,26.0
3338,3338,cellular,nov,None,139,1,999,0,nonexistent,52.0
2619,2619,-,jul,wed,219,1,999,0,nonexistent,
3637,3637,cellular,may,None,196,1,999,0,nonexistent,36.0
1034,1034,telephone,may,wed,161,2,999,0,nonexistent,31.0
3321,3321,telephone,may,fri,160,2,999,0,nonexistent,41.0
2010,2010,cellular,jul,wed,715,1,999,0,nonexistent,31.0
3287,3287,telephone,jun,thu,312,2,999,0,nonexistent,
3886,3886,telephone,may,wed,68,1,999,0,nonexistent,52.0
2662,2662,-,aug,mon,191,3,999,0,nonexistent,33.0
1361,1361,cellular,apr,fri,413,2,999,0,nonexistent,36.0
3567,3567,cellular,aug,None,446,1,999,0,nonexistent,53.0
2562,2562,-,nov,tue,163,1,999,1,failure,49.0
1807,1807,telephone,jun,None,107,1,999,0,nonexistent,
3430,3430,cellular,aug,mon,304,4,999,0,nonexistent,55.0
1659,1659,cellular,may,wed,130,1,999,1,failure,55.0
2196,2196,cellular,may,wed,166,1,999,1,failure,30.0
1287,1287,cellular,may,wed,197,1,999,0,nonexistent,
1635,1635,-,may,fri,265,2,999,0,nonexistent,43.0
865,865,telephone,may,thu,257,2,999,0,nonexistent,38.0
3912,3912,telephone,may,fri,160,6,999,0,nonexistent,41.0
2388,2388,-,may,None,208,3,999,0,nonexistent,35.0
3017,3017,cellular,aug,None,138,2,999,0,nonexistent,
996,996,cellular,nov,wed,164,3,999,0,nonexistent,30.0
