,id,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact
2292,2292,-1.8,92.893,-46.2,1.299,5099.1,telephone
1536,1536,1.4,93.444,-36.1,4.968,5228.1,NO INFO
4047,4047,1.4,94.465,-41.8,4.959,5228.1,telephone
3862,3862,-3.4,92.649,-30.1,0.714,5017.5,cellular
1340,1340,1.4,93.444,-36.1,4.964,5228.1,cellular
3686,3686,-0.1,93.2,-42.0,4.021,5195.8,cellular
1565,1565,-2.9,92.469,-33.6,0.914,5076.2,telephone
3186,3186,1.4,94.465,-41.8,4.865,5228.1,telephone
3588,3588,-0.1,93.2,-42.0,4.153,5195.8,cellular
3441,3441,1.1,93.994,-36.4,4.857,5191.0,telephone
3111,3111,1.4,93.918,-42.7,4.958,5228.1,NO INFO
2410,2410,1.1,93.994,-36.4,4.856,5191.0,telephone
2799,2799,1.4,93.918,-42.7,4.968,5228.1,cellular
1343,1343,-0.1,93.2,-42.0,4.191,5195.8,cellular
3437,3437,1.4,93.918,-42.7,4.963,5228.1,cellular
3948,3948,-0.1,93.2,-42.0,4.12,5195.8,cellular
257,257,1.1,93.994,-36.4,4.856,5191.0,telephone
2156,2156,-0.1,93.2,-42.0,4.191,5195.8,cellular
1125,1125,-1.8,92.893,-46.2,1.266,5099.1,cellular
541,541,1.4,93.444,-36.1,4.968,5228.1,cellular
3103,3103,1.1,93.994,-36.4,4.855,5191.0,NO INFO
1550,1550,1.1,93.994,-36.4,4.857,5191.0,telephone
1926,1926,1.1,93.994,-36.4,4.856,5191.0,telephone
2729,2729,-1.8,93.075,-47.1,1.405,5099.1,cellular
1503,1503,1.4,93.918,-42.7,4.962,5228.1,cellular
2112,2112,-1.8,92.893,-46.2,1.25,5099.1,NO INFO
4026,4026,1.4,93.918,-42.7,4.962,5228.1,cellular
3338,3338,-0.1,93.2,-42.0,4.076,5195.8,cellular
2619,2619,1.4,93.918,-42.7,4.962,5228.1,cellular
3637,3637,-1.8,93.876,-40.0,0.697,5008.7,cellular
1034,1034,1.1,93.994,-36.4,4.858,5191.0,NO INFO
3321,3321,1.1,93.994,-36.4,4.857,5191.0,telephone
2010,2010,1.4,93.918,-42.7,4.957,5228.1,cellular
3287,3287,1.4,94.465,-41.8,4.958,5228.1,telephone
3886,3886,1.1,93.994,-36.4,4.858,5191.0,telephone
2662,2662,1.4,93.444,-36.1,4.965,5228.1,cellular
1361,1361,-1.8,93.075,-47.1,1.405,5099.1,NO INFO
3567,3567,1.4,93.444,-36.1,4.968,5228.1,cellular
2562,2562,-0.1,93.2,-42.0,4.153,5195.8,cellular
1807,1807,1.4,94.465,-41.8,4.961,5228.1,telephone
3430,3430,1.4,93.444,-36.1,4.965,5228.1,NO INFO
1659,1659,-1.8,92.893,-46.2,1.281,5099.1,cellular
2196,2196,-1.8,92.893,-46.2,1.281,5099.1,cellular
1287,1287,-1.8,92.893,-46.2,1.334,5099.1,cellular
1635,1635,1.1,93.994,-36.4,4.864,5191.0,telephone
865,865,1.1,93.994,-36.4,4.855,5191.0,NO INFO
3912,3912,1.1,93.994,-36.4,4.859,5191.0,telephone
2388,2388,1.1,93.994,-36.4,4.858,5191.0,telephone
3017,3017,1.4,93.444,-36.1,4.964,5228.1,cellular
996,996,-0.1,93.2,-42.0,4.12,5195.8,cellular
